,coilable,sigma_crit,energy
488,2,0.3961557519488985,0.2389803084501312
489,0,20.919325719998728,
490,2,57.05768371821684,34.07074265683869
491,0,,
492,1,2.815005309454971,
493,2,38.483665239620294,23.27308379410104
494,1,13.912688505321123,
495,0,0.022061421591626162,
496,0,0.020876035575477726,
497,0,,
498,2,52.68155940296209,31.754298397318117
499,1,1.0172929314525003,
500,2,3.5385873427279644,2.1391203709288833
501,0,92.42573179187019,
502,2,14.753026604846331,9.340893360335578
503,0,0.2678768678168309,
504,1,0.05255041572985437,0.03198383894877096
505,2,16.08228868954984,9.632289686607036
506,2,42.731192360856795,27.866667655663054
507,0,2.256817093043076,
508,1,0.7821255875399158,0.4881176761590752
509,1,21.47318492195852,
510,2,9.603663914073913,4.623396082220791
511,1,0.0008220059965601105,
512,0,0.0017783336721316017,
513,2,6.580611263009215,3.8752585813289087
514,2,32.56692107523599,16.281646465470217
515,1,0.4865557596250951,
516,2,2.082892571232253,1.2501882058487104
517,0,66.59934086646216,
518,2,10.32126172148665,6.459029438672161
519,0,0.07689730230428016,
520,1,0.16880609884098788,0.09635684012170218
521,2,22.54143289999132,13.817319941379845
522,2,54.62706942731742,34.273908016445176
523,0,4.288270786668028,
524,2,1.636112814984684,0.984714558903285
525,0,,
526,1,18.057083223434077,
527,1,0.014504744893622972,
528,1,0.041968521873560434,0.024441514677630494
529,1,8.346849159465833,
530,1,69.5812678802319,
531,0,1.2624297410003613,
532,2,3.979382873115278,2.4968429119787667
533,0,76.33962338368616,
534,2,23.083832946048503,13.353155408521285
535,0,0.4938896194027696,
536,1,0.15415111168108617,
537,0,,
538,2,46.52417296462284,29.082876592964116
539,0,4.292981772983548,
540,1,1.325569690023778,0.7183614244029388
541,2,30.439337795983533,
542,2,9.83030055303677,6.363699692890091
543,1,0.003457252800610282,
544,1,0.007137615366644506,0.0043896226035405345
545,2,13.203494078903638,7.924383441329109
546,2,23.666976657537205,14.72078084365157
547,2,1.1407080405236796,0.6543431754940572
548,1,6.433297447683357,
549,0,52.68410588205156,
550,2,22.72605263397792,13.13556014472269
551,1,0.14266649098757497,0.09073860315948475
552,2,0.6791332407662883,0.40432938122003204
553,0,,
554,2,143.26491357360052,
555,2,5.819086691303115,3.5357364990338525
556,2,1.4367235022791578,0.8772548449660871
557,2,53.67086652922131,30.990332575643908
558,2,11.650396482235685,7.403260170376332
559,0,0.04722318147468245,
560,1,0.01973775942248449,
561,0,9.247029517593594,
562,2,42.02199793443931,24.173873927481115
563,0,,
564,2,5.22728495091021,3.075992297711469
565,2,49.89698451862628,29.017279987336593
566,1,38.57788496593069,
567,0,0.28614785528378045,
568,1,0.16306378849423228,0.09191840340394582
569,2,13.562547630518953,8.354669184391065
570,2,59.9492107243104,
571,0,1.7430649367424376,
572,2,0.7195203991252876,0.4376056666418559
573,0,29.266684175282453,
574,2,5.471364971635941,3.2333590754715766
575,1,0.0029319905588252385,
576,1,0.00250145733916849,0.001477792760927533
577,2,9.692154062433007,5.670728037603615
578,2,30.50172653367556,19.7014104115205
579,0,0.7013385384264696,
580,1,3.2015608352365668,1.957255661549405
581,2,37.71717503368973,23.549643866602967
582,2,21.538120138740013,11.7212177519603
583,1,0.10685408231280906,0.06716007129166347
584,2,0.6007653467878392,0.3526882914823466
585,0,17.359347952919208,
586,2,83.63655921456336,47.41605875857095
587,2,3.482946774623038,2.1867677690954626
588,2,1.6017353472768345,0.9028268028947857
589,0,49.11266895906943,
590,2,9.164141623231334,5.779034471610007
591,0,0.031911202709697384,
592,1,0.06131921647444544,0.038789302871423646
593,0,12.680065302063012,
594,2,35.66980584575558,21.406923705049365
595,2,2.712891497967211,1.5847860637862088
596,0,11.112962070402974,
597,2,84.97855369471422,49.28520039673884
598,2,39.97462874650517,23.949716707785292
599,0,0.3672150170970683,
600,1,0.26502481123662414,0.14902987978899154
601,2,15.320891441798212,9.60316401170576
602,0,117.40923813866355,
603,2,3.7428149657034844,2.16498631538264
604,2,0.817623506047132,0.5274430626677209
605,0,32.75790700694627,
606,2,8.153953368438456,4.7951408986573165
607,0,0.0147084632207806,
